[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /api1/login               --> router.Login (5 handlers)
[GIN-debug] Listening and serving HTTP on :5000
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /api1/login               --> router.Login (5 handlers)
[GIN-debug] Listening and serving HTTP on :5000
[GIN] 2020/07/03 - 19:12:01 | 200 |       997.3µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:01 | 200 |     18.9479ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |            0s |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |         996µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |       997.8µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |      1.9942ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |            0s |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |      1.0001ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |      1.9933ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |      2.9911ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |            0s |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:02 | 200 |       996.5µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:03 | 200 |            0s |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:03 | 200 |       998.2µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:03 | 200 |       1.002ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:03 | 200 |      4.9874ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:04 | 200 |       997.5µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:04 | 200 |      1.9954ms |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:04 | 200 |       997.8µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:04 | 200 |       997.8µs |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:04 | 200 |            0s |             ::1 | GET      "/api1/login"
[GIN] 2020/07/03 - 19:12:04 | 200 |            0s |             ::1 | GET      "/api1/login"
